PGN,Label,InDBC
1F809,Local Time Offset,NMEA DBC
1F80E,AIS Class A Position Report,NMEA DBC
1F80F,AIS Class B Position Report,NMEA DBC
1F810,AIS Class B Extended Position Report,NMEA DBC
1F811,AIS Aids to Navigation (AtoN) Report,NMEA DBC
1F814,Datum,NMEA DBC
1F903,Cross Track Error,NMEA DBC
1F904,Navigation Data,NMEA DBC
1F905,Navigation - Route/WP information,NMEA DBC (2022)
1F90B,"Set & Drift, Rapid Update",NMEA DBC (2022)
1F915,Time to/from Mark,NMEA DBC (2022)
1F916,Bearing and Distance between two Marks,NMEA DBC (2022)
1FA02,GNSS Control Status,NMEA DBC (2022)
1FA03,GNSS DOPs,NMEA DBC
1FA04,GNSS Sats in View,NMEA DBC
1FA05,GPS Almanac Data,NMEA DBC (2022)
1FA06,GNSS Pseudorange Noise Statistics,NMEA DBC (2022)
1FA09,GNSS RAIM Output,NMEA DBC (2022)
1FA0A,GNSS RAIM Settings,NMEA DBC (2022)
1FA0B,GNSS Pseudorange Error Statistics,NMEA DBC (2022)
1FA0D,DGNSS Corrections,NMEA DBC (2022)
1FA0E,GNSS Differential Correction Receiver Interface,NMEA DBC (2022)
1FA0F,GNSS Differential Correction Receiver Signal,NMEA DBC (2022)
1FA14,GLONASS Almanac Data,NMEA DBC (2022)
1FB00,AIS DGNSS Broadcast Binary Message,NMEA DBC (2022)
1FB01,AIS UTC and Date Report,NMEA DBC (2022)
1FB02,AIS Class A Static and Voyage Related Data,NMEA DBC
1FB03,AIS Addressed Binary Message,NMEA DBC
1FB04,AIS Acknowledge - DEPRECATED,NMEA DBC
1FB05,AIS Binary Broadcast Message,NMEA DBC
1FB06,AIS SAR Aircraft Position Report,NMEA DBC (2022)
1FB07,Radio Frequency/Mode/Power,NMEA DBC (2022)
1FB08,AIS UTC/Date Inquiry,NMEA DBC (2022)
1FB09,AIS Addressed Safety Related Message,NMEA DBC (2022)
1FB0A,AIS Safety Related Broadcast Message,NMEA DBC (2022)
1FB0B,AIS Interrogation,NMEA DBC (2022)
1FB0C,AIS Assignment Mode Command,NMEA DBC (2022)
1FB0D,AIS Data Link Management Message,NMEA DBC (2022)
1FB0E,AIS Channel Management,NMEA DBC (2022)
1FB0F,AIS Group Assignment,NMEA DBC (2022)
1FB10,DSC Call Information,NMEA DBC (2022)
1FB11,"AIS Static Data Report, Part A",NMEA DBC
1FB12,"AIS Static Data Report, Part B",NMEA DBC
1FB13,AIS Single Slot Binary Message - DEPRECATED,NMEA DBC (2022)
1FB14,AIS Multi Slot Binary Message - DEPRECATED,NMEA DBC (2022)
1FB15,AIS Long-Range Broadcast Message,NMEA DBC (2022)
1FB16,AIS Single Slot Binary Message,NMEA DBC (2022)
1FB17,AIS Multi Slot Binary Message,NMEA DBC (2022)
1FB18,AIS Acknowledge,NMEA DBC (2022)
1FC04,Loran-C TD Data,NMEA DBC (2022)
1FC05,Loran-C Range Data,NMEA DBC (2022)
1FC06,Loran-C Signal Data,NMEA DBC (2022)
1FC0C,Label,NMEA DBC (2022)
1FC0D,Channel Source Configuration,NMEA DBC (2022)
1FC10,Route and WP Service - Database List,NMEA DBC (2022)
1FC11,Route and WP Service - Route List,NMEA DBC (2022)
1FC12,Route and WP Service - Route/WP-List Attributes,NMEA DBC (2022)
1FC13,Route and WP Service - Route - WP Name & Position,NMEA DBC (2022)
1FC14,Route and WP Service - Route - WP Name,NMEA DBC (2022)
1FC15,Route and WP Service - XTE Limit & Navigation Method,NMEA DBC (2022)
1FC16,Route and WP Service - WP Comment,NMEA DBC (2022)
1FC17,Route and WP Service - Route Comment,NMEA DBC (2022)
1FC18,Route and WP Service - Database Comment,NMEA DBC (2022)
1FC19,Route and WP Service - Radius of Turn,NMEA DBC (2022)
1FC1A,Route and WP Service - WP List - WP Name & Position,NMEA DBC (2022)
1FD02,Wind Data,NMEA DBC
1FD06,Environmental Parameters - DEPRECATED,NMEA DBC
1FD07,Environmental Parameters- DEPRECATED,NMEA DBC
1FD08,Temperature - DEPRECATED,NMEA DBC
1FD09,Humidity,NMEA DBC
1FD0A,Actual Pressure,NMEA DBC
1FD0B,Set Pressure,NMEA DBC
1FD0C,"Temperature, Extended Range",NMEA DBC
1FD10,Tide Station Data,NMEA DBC
1FD11,Salinity Station Data,NMEA DBC (2022)
1FD12,Current Station Data,NMEA DBC (2022)
1FD13,Meteorological Station Data,NMEA DBC (2022)
1FD14,Moored Buoy Station Data,NMEA DBC (2022)
1FD1A,Lighting System Settings,NMEA DBC (2022)
1FE00,Payload Mass,NMEA DBC (2022)
1FE01,Lighting Zone,NMEA DBC (2022)
1FE02,Lighting Scene,NMEA DBC (2022)
1FE03,Lighting Device,NMEA DBC (2022)
1FE04,Lighting Device Enumeration,NMEA DBC (2022)
1FE05,Lighting Color Sequence,NMEA DBC (2022)
1FE06,Lighting Program,NMEA DBC (2022)
1FE07,Watermaker Input Setting and Status,NMEA DBC
1FE08,Entertainment - Diagnostic Status,NMEA DBC (2022)
1FE09,Entertainment - Current File and Status,NMEA DBC (2022)
1FE0A,Entertainment - Library Data File,NMEA DBC (2022)
1FE0B,Entertainment - Library Data Group,NMEA DBC (2022)
1FE0C,Entertainment - Library Data Search,NMEA DBC (2022)
1FE0D,Entertainment - Supported Source Data,NMEA DBC (2022)
1FE0E,Entertainment - Supported Zone Data,NMEA DBC (2022)
1FE0F,Entertainment - Parental Control Status,NMEA DBC (2022)
1FE10,Trim Tab Status,NMEA DBC (2022)
1FE11,Direction Data,NMEA DBC (2022)
1FE12,Vessel Speed Components,NMEA DBC
1FE13,Entertainment - System Configuration,NMEA DBC (2022)
1FE14,Entertainment - System Configuration Status - DEPRECATED,NMEA DBC (2022)
1FE15,Entertainment - Zone Configuration Status - DEPRECATED,NMEA DBC (2022)
1FE16,Entertainment - Zone Volume,NMEA DBC (2022)
1FE17,Entertainment - Available Audio EQ Presets,NMEA DBC (2022)
1FE18,Entertainment - Bluetooth Devices,NMEA DBC (2022)
1FE19,Entertainment - Bluetooth Source Status,NMEA DBC (2022)
1FE1A,Entertainment - Zone Configuration Status,NMEA DBC (2022)
1FF01,Proprietary B - Page 1,No
1FF02,Proprietary B - Page 1,No
1FF03,Proprietary B - Page 1,No
1FF04,Proprietary B - Page 1,No
1FF05,Proprietary B - Page 1,No
1FF06,Proprietary B - Page 1,No
1FF07,Proprietary B - Page 1,No
1FF08,Proprietary B - Page 1,No
1FF09,Proprietary B - Page 1,No
1FF0A,Proprietary B - Page 1,No
1FF0B,Proprietary B - Page 1,No
1FF0C,Proprietary B - Page 1,No
1FF0D,Proprietary B - Page 1,No
1FF0E,Proprietary B - Page 1,No
1FF0F,Proprietary B - Page 1,No
1FF10,Proprietary B - Page 1,No
1FF11,Proprietary B - Page 1,No
1FF12,Proprietary B - Page 1,No
1FF13,Proprietary B - Page 1,No
1FF16,Proprietary B - Page 1,No
1FF17,Proprietary B - Page 1,No
1FF18,Proprietary B - Page 1,No
1FF19,Proprietary B - Page 1,No
1FF1A,Proprietary B - Page 1,No
1FF1B,Proprietary B - Page 1,No
1FF1C,Proprietary B - Page 1,No
1FF1D,Proprietary B - Page 1,No
1FF1E,Proprietary B - Page 1,No
1FF1F,Proprietary B - Page 1,No
1FF20,Proprietary B - Page 1,No
1FF21,Proprietary B - Page 1,No
1FF22,Proprietary B - Page 1,No
1FF23,Proprietary B - Page 1,No
1FF24,Proprietary B - Page 1,No
1FF25,Proprietary B - Page 1,No
1FF26,Proprietary B - Page 1,No
1FF27,Proprietary B - Page 1,No
1FF28,Proprietary B - Page 1,No
1FF29,Proprietary B - Page 1,No
1FF2A,Proprietary B - Page 1,No
1FF2B,Proprietary B - Page 1,No
1FF2C,Proprietary B - Page 1,No
1FF2D,Proprietary B - Page 1,No
1FF2E,Proprietary B - Page 1,No
1FF2F,Proprietary B - Page 1,No
1FF30,Proprietary B - Page 1,No
1FF31,Proprietary B - Page 1,No
1FF32,Proprietary B - Page 1,No
1FF33,Proprietary B - Page 1,No
1FF34,Proprietary B - Page 1,No
1FF35,Proprietary B - Page 1,No
1FF36,Proprietary B - Page 1,No
1FF37,Proprietary B - Page 1,No
1FF38,Proprietary B - Page 1,No
1FF39,Proprietary B - Page 1,No
1FF3A,Proprietary B - Page 1,No
1FF3B,Proprietary B - Page 1,No
1FF3C,Proprietary B - Page 1,No
1FF3D,Proprietary B - Page 1,No
1FF3E,Proprietary B - Page 1,No
1FF3F,Proprietary B - Page 1,No
1FF40,Proprietary B - Page 1,No
1FF41,Proprietary B - Page 1,No
1FF42,Proprietary B - Page 1,No
1FF43,Proprietary B - Page 1,No
1FF44,Proprietary B - Page 1,No
1FF45,Proprietary B - Page 1,No
1FF46,Proprietary B - Page 1,No
1FF47,Proprietary B - Page 1,No
1FF48,Proprietary B - Page 1,No
1FF49,Proprietary B - Page 1,No
1FF4A,Proprietary B - Page 1,No
1FF4B,Proprietary B - Page 1,No
1FF4C,Proprietary B - Page 1,No
1FF4D,Proprietary B - Page 1,No
1FF4E,Proprietary B - Page 1,No
1FF4F,Proprietary B - Page 1,No
1FF50,Proprietary B - Page 1,No
1FF51,Proprietary B - Page 1,No
1FF52,Proprietary B - Page 1,No
1FF53,Proprietary B - Page 1,No
1FF54,Proprietary B - Page 1,No
1FF55,Proprietary B - Page 1,No
1FF56,Proprietary B - Page 1,No
1FF57,Proprietary B - Page 1,No
1FF58,Proprietary B - Page 1,No
1FF59,Proprietary B - Page 1,No
1FF5A,Proprietary B - Page 1,No
1FF5B,Proprietary B - Page 1,No
1FF5C,Proprietary B - Page 1,No
1FF5D,Proprietary B - Page 1,No
1FF5E,Proprietary B - Page 1,No
1FF5F,Proprietary B - Page 1,No
1FF60,Proprietary B - Page 1,No
1FF61,Proprietary B - Page 1,No
1FF62,Proprietary B - Page 1,No
1FF63,Proprietary B - Page 1,No
1FF64,Proprietary B - Page 1,No
1FF65,Proprietary B - Page 1,No
1FF66,Proprietary B - Page 1,No
1FF67,Proprietary B - Page 1,No
1FF68,Proprietary B - Page 1,No
1FF69,Proprietary B - Page 1,No
1FF6A,Proprietary B - Page 1,No
1FF6B,Proprietary B - Page 1,No
1FF6C,Proprietary B - Page 1,No
1FF6D,Proprietary B - Page 1,No
1FF6E,Proprietary B - Page 1,No
1FF6F,Proprietary B - Page 1,No
1FF70,Proprietary B - Page 1,No
1FF71,Proprietary B - Page 1,No
1FF72,Proprietary B - Page 1,No
1FF73,Proprietary B - Page 1,No
1FF74,Proprietary B - Page 1,No
1FF75,Proprietary B - Page 1,No
1FF76,Proprietary B - Page 1,No
1FF77,Proprietary B - Page 1,No
1FF78,Proprietary B - Page 1,No
1FF79,Proprietary B - Page 1,No
1FF7A,Proprietary B - Page 1,No
1FF7B,Proprietary B - Page 1,No
1FF7C,Proprietary B - Page 1,No
1FF7D,Proprietary B - Page 1,No
1FF7E,Proprietary B - Page 1,No
1FF7F,Proprietary B - Page 1,No
1FF80,Proprietary B - Page 1,No
1FF81,Proprietary B - Page 1,No
1FF82,Proprietary B - Page 1,No
1FF83,Proprietary B - Page 1,No
1FF84,Proprietary B - Page 1,No
1FF85,Proprietary B - Page 1,No
1FF86,Proprietary B - Page 1,No
1FF87,Proprietary B - Page 1,No
1FF88,Proprietary B - Page 1,No
1FF89,Proprietary B - Page 1,No
1FF8A,Proprietary B - Page 1,No
1FF8B,Proprietary B - Page 1,No
1FF8C,Proprietary B - Page 1,No
1FF8D,Proprietary B - Page 1,No
1FF8E,Proprietary B - Page 1,No
1FF8F,Proprietary B - Page 1,No
1FF90,Proprietary B - Page 1,No
1FF91,Proprietary B - Page 1,No
1FF92,Proprietary B - Page 1,No
1FF93,Proprietary B - Page 1,No
1FF94,Proprietary B - Page 1,No
1FF95,Proprietary B - Page 1,No
1FF96,Proprietary B - Page 1,No
1FF97,Proprietary B - Page 1,No
1FF98,Proprietary B - Page 1,No
1FF99,Proprietary B - Page 1,No
1FF9A,Proprietary B - Page 1,No
1FF9B,Proprietary B - Page 1,No
1FF9C,Proprietary B - Page 1,No
1FF9D,Proprietary B - Page 1,No
1FF9E,Proprietary B - Page 1,No
1FF9F,Proprietary B - Page 1,No
1FFA0,Proprietary B - Page 1,No
1FFA1,Proprietary B - Page 1,No
1FFA2,Proprietary B - Page 1,No
1FFA3,Proprietary B - Page 1,No
1FFA4,Proprietary B - Page 1,No
1FFA5,Proprietary B - Page 1,No
1FFA6,Proprietary B - Page 1,No
1FFA7,Proprietary B - Page 1,No
1FFA8,Proprietary B - Page 1,No
1FFA9,Proprietary B - Page 1,No
1FFAA,Proprietary B - Page 1,No
1FFAB,Proprietary B - Page 1,No
1FFAC,Proprietary B - Page 1,No
1FFAD,Proprietary B - Page 1,No
1FFAE,Proprietary B - Page 1,No
1FFAF,Proprietary B - Page 1,No
1FFB0,Proprietary B - Page 1,No
1FFB1,Proprietary B - Page 1,No
1FFB2,Proprietary B - Page 1,No
1FFB3,Proprietary B - Page 1,No
1FFB4,Proprietary B - Page 1,No
1FFB5,Proprietary B - Page 1,No
1FFB6,Proprietary B - Page 1,No
1FFB7,Proprietary B - Page 1,No
1FFB8,Proprietary B - Page 1,No
1FFB9,Proprietary B - Page 1,No
1FFBA,Proprietary B - Page 1,No
1FFBB,Proprietary B - Page 1,No
1FFBC,Proprietary B - Page 1,No
1FFBD,Proprietary B - Page 1,No
1FFBE,Proprietary B - Page 1,No
1FFBF,Proprietary B - Page 1,No
1FFC0,Proprietary B - Page 1,No
1FFC1,Proprietary B - Page 1,No
1FFC2,Proprietary B - Page 1,No
1FFC3,Proprietary B - Page 1,No
1FFC4,Proprietary B - Page 1,No
1FFC5,Proprietary B - Page 1,No
1FFC6,Proprietary B - Page 1,No
1FFC7,Proprietary B - Page 1,No
1FFC8,Proprietary B - Page 1,No
1FFC9,Proprietary B - Page 1,No
1FFCA,Proprietary B - Page 1,No
1FFCB,Proprietary B - Page 1,No
1FFCC,Proprietary B - Page 1,No
1FFCD,Proprietary B - Page 1,No
1FFCE,Proprietary B - Page 1,No
1FFCF,Proprietary B - Page 1,No
1FFD0,Proprietary B - Page 1,No
1FFD1,Proprietary B - Page 1,No
1FFD2,Proprietary B - Page 1,No
1FFD3,Proprietary B - Page 1,No
1FFD4,Proprietary B - Page 1,No
1FFD5,Proprietary B - Page 1,No
1FFD6,Proprietary B - Page 1,No
1FFD7,Proprietary B - Page 1,No
1FFD8,Proprietary B - Page 1,No
1FFD9,Proprietary B - Page 1,No
1FFDA,Proprietary B - Page 1,No
1FFDB,Proprietary B - Page 1,No
1FFDC,Proprietary B - Page 1,No
1FFDD,Proprietary B - Page 1,No
1FFDE,Proprietary B - Page 1,No
1FFDF,Proprietary B - Page 1,No
1FFE0,Proprietary B - Page 1,No
1FFE1,Proprietary B - Page 1,No
1FFE2,Proprietary B - Page 1,No
1FFE3,Proprietary B - Page 1,No
1FFE4,Proprietary B - Page 1,No
1FFE5,Proprietary B - Page 1,No
1FFE6,Proprietary B - Page 1,No
1FFE7,Proprietary B - Page 1,No
1FFE8,Proprietary B - Page 1,No
1FFE9,Proprietary B - Page 1,No
1FFEA,Proprietary B - Page 1,No
1FFEB,Proprietary B - Page 1,No
1FFEC,Proprietary B - Page 1,No
1FFED,Proprietary B - Page 1,No
1FFEE,Proprietary B - Page 1,No
1FFEF,Proprietary B - Page 1,No
1FFF0,Proprietary B - Page 1,No
1FFF1,Proprietary B - Page 1,No
1FFF2,Proprietary B - Page 1,No
1FFF3,Proprietary B - Page 1,No
1FFF4,Proprietary B - Page 1,No
1FFF5,Proprietary B - Page 1,No
1FFF6,Proprietary B - Page 1,No
1FFF7,Proprietary B - Page 1,No
1FFF8,Proprietary B - Page 1,No
1FFF9,Proprietary B - Page 1,No
1FFFA,Proprietary B - Page 1,No
1FFFB,Proprietary B - Page 1,No
1FFFC,Proprietary B - Page 1,No
1FFFD,Proprietary B - Page 1,No
1FFFE,Proprietary B - Page 1,No
1FFFF,Proprietary B - Page 1 (last entry),No
